onset	stimamp	resp	sdt	rt
1203893	0.25	0	miss	0
1216256	0.255	1	hit	0.457607507705688
1223053	0.25	1	hit	0.680790424346924
1249533	0.245	1	hit	0.390157699584961
1255078	0.24	0	miss	0
1260141	0.245	1	hit	0.35068154335022
1264924	0.24	0	miss	0
1269350	0.245	0	miss	0
1276535	0.25	1	hit	0.319486379623413
1286322	0.245	0	miss	0
1300098	0.25	1	fa	-2.39628529548645
1307296	0.25	1	hit	0.367969036102295
1313920	0.245	1	hit	0.618583202362061
1319460	0.24	0	miss	0
1334039	0.245	0	miss	0
1340095	0.25	1	hit	0.706416368484497
1347222	0.245	1	hit	0.897151947021484
1358869	0.24	0	miss	0
1363508	0.245	1	hit	0.780271291732788
1370086	0.24	0	miss	0
1377825	0.245	0	miss	0
1382442	0.25	1	hit	0.507804393768311
1388605	0.245	0	miss	0
1396228	0.25	1	hit	1.00930309295654
1401379	0.245	0	miss	0
1408339	0.25	1	hit	0.643162250518799
1415199	0.245	0	miss	0
1421154	0.25	0	miss	0
1429637	0.255	0	miss	0
1439876	0.26	1	hit	0.412061929702759
1446563	0.255	0	miss	0
1451522	0.26	1	hit	0.702255010604858
1459646	0.255	1	hit	0.77376651763916
1473027	0.25	0	miss	0
1480743	0.255	0	miss	0
1490039	0.26	1	hit	0.359672069549561
1498205	0.255	0	miss	0
1503345	0.26	0	miss	0
1511443	0.265	0	miss	0
1519683	0.27	1	hit	0.413488626480103
1528306	0.265	1	hit	0.417121410369873
1540800	0.26	1	hit	0.772807359695435
1550737	0.255	1	hit	0.634044408798218
1565165	0.25	1	hit	0.646970987319946
1573065	0.245	1	hit	0.718640565872192
1583069	0.24	1	hit	0.584960699081421
1592469	0.235	0	miss	0
1600359	0.24	0	miss	0
1613437	0.245	0	miss	0
1620712	0.25	0	miss	0
1712861	0.255	0	miss	0
1723038	0.26	1	hit	0.466598987579346
1728450	0.255	0	miss	0
1743477	0.26	0	miss	0
1751669	0.265	1	hit	0.465225219726562
1779388	0.26	1	hit	0.718902826309204
1790007	0.255	1	hit	1.00382995605469
1821657	0.25	0	miss	0
1832869	0.255	1	hit	0.437880754470825
1845293	0.25	0	miss	0
1855060	0.255	0	miss	0
1866574	0.26	1	hit	0.839132785797119
1879105	0.255	1	hit	0.51574969291687
1885627	0.25	1	hit	0.824229955673218
1890481	0.245	0	miss	0
1895127	0.25	0	miss	0
1905675	0.255	0	miss	0
1913041	0.26	0	miss	0
1921416	0.265	0	miss	0
1928425	0.27	0	miss	0
1938237	0.275	1	hit	0.516409635543823
1953660	0.27	0	miss	0
1961439	0.275	0	miss	0
1972970	0.28	0	miss	0
1992294	0.285	0	miss	0
1996877	0.29	1	hit	0.405541181564331
2004761	0.285	1	hit	0.740509271621704
2009328	0.28	1	hit	1.3285858631134
2014861	0.275	0	miss	0
2039364	0.28	1	hit	0.852957487106323
2045360	0.275	0	miss	0
2051178	0.28	1	hit	1.10162758827209
2057396	0.275	0	miss	0
2064216	0.28	0	miss	0
2074841	0.285	0	miss	0
2080285	0.29	0	miss	0
2090719	0.295	0	miss	0
2099164	0.3	1	hit	1.16066312789917
2104057	0.295	0	miss	0
2109074	0.3	0	miss	0
2117176	0.305	1	hit	0.884292125701904
2126284	0.3	0	miss	0
2132710	0.305	0	miss	0
2137468	0.31	1	hit	0.702942609786987
2142293	0.305	0	miss	0
2148814	0.31	0	miss	0
2157713	0.315	0	miss	0
2162749	0.32	0	miss	0
2170469	0.325	0	miss	0
2175278	0.33	0	miss	0
2355943	0.335	1	hit	0.635033369064331
2362958	0.33	0	miss	0
2368706	0.335	1	hit	0.890224933624268
2380180	0.33	0	miss	0
2389015	0.335	0	miss	0
2400235	0.34	0	miss	0
2409271	0.345	1	hit	0.634052515029907
2417417	0.34	0	miss	0
2424266	0.345	1	hit	0.383531332015991
2441075	0.34	1	hit	1.31565380096436
2447936	0.335	1	hit	0.961501121520996
2457652	0.33	0	miss	0
2467839	0.335	0	miss	0
2478007	0.34	0	miss	0
2490052	0.345	1	hit	0.743606090545654
2494667	0.34	0	miss	0
2499297	0.345	0	miss	0
2504503	0.35	0	miss	0
2510184	0.355	0	miss	0
2521691	0.36	0	miss	0
2530252	0.365	0	miss	0
2541459	0.37	0	miss	0
2573395	0.375	1	hit	0.455429315567017
2582549	0.37	1	hit	0.356097459793091
2588449	0.365	1	hit	0.534311294555664
2594799	0.36	1	hit	0.436042785644531
2601724	0.355	1	hit	0.431597471237183
2609539	0.35	1	hit	0.440868854522705
2619071	0.345	1	hit	0.728508472442627
2626345	0.34	0	miss	0
2631858	0.345	0	miss	0
2637364	0.35	1	hit	0.620806694030762
2644042	0.345	1	hit	0.640035629272461
2649662	0.34	0	miss	0
2655837	0.345	0	miss	0
2668772	0.35	0	miss	0
2675966	0.355	0	miss	0
2684668	0.36	1	hit	0.388784885406494
2698885	0.355	0	miss	0
2711099	0.36	1	hit	0.837261438369751
2722164	0.355	0	miss	0
2728176	0.36	1	hit	0.641434907913208
2736033	0.355	1	hit	0.824357986450195
2741967	0.35	0	miss	0
2751921	0.355	1	hit	0.616843223571777
2775311	0.35	0	miss	0
2782291	0.355	0	miss	0
2791894	0.36	0	miss	0
2796497	0.365	0	miss	0
2801279	0.37	0	miss	0
